#,Group,Indicator,Feasible?,Used questionnaire(s),Used questions,Guidance,Logic,Calculation Comprehensive monitoring,Remarks,,
12,,Facility condition,Yes,Monitoring,1749612390514,,Options: Good / Satisfactory / Maintenance in progress / Poor.,COUNT per option of 1749612390514.,,,
13,,Security gate & fencing,Yes,Monitoring,1749612437237,,Options: Good / Maintenance in progress / Poor.,COUNT per option of 1749612437237: Good / Maintenance in progress / Poor.,Form lacks the 'Satisfactory' option here (3 options instead of 4). Verify whether DWS wants this aligned with Ground/Facility (4 options).,,
14,,Non-return valve,Yes,Monitoring,1749612781881,,Options: Operational / Maintenance in progress / Faulty.,COUNT per option of 1749612781881: Operational / Maintenance in progress / Faulty.,,,
15,,Sluice valve,Yes,Monitoring,1749612827907,,Options: Operational / Maintenance in progress / Faulty.,COUNT per option of 1749612827907.,,,
16,,Ventilation,Yes,Monitoring,1749612881122,,Options: Exhaust Fan in Operation / Poor / Not available.,COUNT per option of 1749612881122: Exhaust fan in operation / Poor / Not available.,,,
17,,Electrical panel,Yes,Monitoring,1749612965593,,Options: Satisfactory / Need Maintenance / Broken / Electrical hazard.,COUNT per option of 1749612965593: Satisfactory / Need Maintenance / Broken / Electrical hazard.,Option ORDER in the form is Broken / Need Maintenance / Electrical hazard / Satisfactory. For the dashboard we re-order to Satisfactory → Need Maintenance → Broken → Electrical hazard (good → bad).,,
18,,Pump station lid,Yes,Monitoring,1749613029710,,Options: Covered / Broken / Missing.,COUNT per option of 1749613029710: Covered / Broken / Missing.,,,
19,,Gantry,Yes,Monitoring,1749613073320,,Options: Electrical Hoist / Mechanical Hoist / Portable Hoist / Not available.,COUNT per option of 1749613073320: Electrical Hoist / Mechanical Hoist / Portable Hoist / Not available.,"Note that 'Not available' is the only failing option here — the three hoist types are all acceptable, just at different capacity levels.",,
20,,Hour run meter,Yes,Monitoring,1749613144170,,Options: Operational / Maintenance in progress / Faulty.,COUNT per option of 1749613144170: Operational / Maintenance in progress / Faulty.,Form has typo 'Oprational' — should be 'Operational',,
21,,Amp meter,Yes,Monitoring,1749613187910,,Options: Operational / Maintenance in progress / Faulty.,COUNT per option of 1749613187910.,,,
22,,Volt meter,Yes,Monitoring,1749613395029,,Options: Operational / Maintenance in progress / Faulty.,COUNT per option of 1749613395029.,,,
23,,Guardrails,Yes,Monitoring,1749613433763,,Options: Secured / Missing / Maintenance in progress / Needs Upgrade.,COUNT per option of 1749613433763: Secured / Maintenance in progress / Needs Upgrade / Missing.,,,
24,,Power backup system,,Monitoring,1749613534231,,Options: Generator / None.,COUNT per option of 1749613534231: Generator / None.,,,
25,,Odour,Yes,Monitoring,1749613625174,,Options: None / Mild / Strong.,COUNT per option of 1749613625174: None / Mild / Strong.,,,
26,,Fats / grease balls,Yes,Monitoring,1749613671183,,Options: None / Some / Plenty.,COUNT per option of 1749613671183: None / Some / Plenty.,,,
27,,Lights,Yes,Monitoring,1749613872416,,Options: Operational / Faulty / Not available.,COUNT per option of 1749613872416: Operational / Faulty / Not available.,,,
28,,Water supply,Yes,Monitoring,1749613907567,,Options: Available / Intermittent supply / Not available.,COUNT per option of 1749613907567: Available / Intermittent Supply / Not available.,,,
29,,OHS equipment,,Monitoring,1749613958725,,Options: Available / Not used / Not available.,COUNT per option of 1749613958725: Available / Not used / Not available.,,,
30,Pumps at a glance,OHS Equipment Compliance,,Monitoring,1749613958725,,Binary score (equipment present + no hazard) per DWS. Histogram of stations by # items compliant out of 6.,% with 1749613958725 = 'Available' across the fleet.,"MAJOR GAP — DOUBLE-CHECK WITH DWS:
The dashboard currently renders an OHS histogram with 0–6 buckets, suggesting a 6-item OHS checklist (confined-space kit, harness, gas detector, hi-vis, signage, first-aid). The WAF Pump Station form has only ONE OHS question with 3 options (Available / Not available / Not used). The histogram cannot be built from this single field.
Options:
  (A) Replace the histogram with a 3-segment donut over the 3 options of 1749613958725.
  (B) Extend the form with a multi-item OHS checklist matching DWS PPE standards.",,
31,,Electrical Safety Issues,,Monitoring,"1749612965593
1749613144170
1749613187910
1749613395029
1749613872416
1749613534231",,Form-derived bar: # stations affected per electrical-linked form field (Electrical panel / Hour run / Amp / Volt meter / Lights / No power backup).,"For each electrical-linked field, COUNT stations reporting a fault:
  • Electrical panel (1749612965593) ∈ {Broken, Need Maintenance, Electrical hazard}
  • Hour run meter (1749613144170) = Faulty
  • Amp meter (1749613187910) = Faulty
  • Volt meter (1749613395029) = Faulty
  • Lights (1749613872416) ∈ {Faulty, Not available}
  • Power backup (1749613534231) = None
Render as horizontal bar.","DOUBLE-CHECK whether 'Need Maintenance' on electrical panel should count as an issue, or only Broken / Electrical hazard. Also confirm whether 'No power backup' is a critical issue or just a flag (depends on site criticality).",OK,
32,,Compliance Trend,,Monitoring,"1749611905374 + all condition fields
1749627302950",,Last 12 months · % stations passing each domain (pumps functioning / standby / electrical OK / OHS pass).,"Group inspections by month of 1749611905374. Per month compute % stations passing each domain:
  • Operational % (Pump Station Status = Operational)
  • Standby available %
  • Electrical OK % (no electrical-field faults)
  • OHS pass % (OHS Equipment = Available).",Requires accumulated historical data. For the first months after rollout there will be sparse data — chart should label series with 'partial data'.,,
33,Individual Monitoring,Search & inline station card,,Registration + Monitoring,ALL Registration + Monitoring + Quick Monitoring questions,,"Selectable picker. Renders mini site-hero plus grouped tables that mirror the WAF Pump Station monitoring form (General Information, Structural & Site Condition, Environment / Hygiene, Hydraulic & Valves, Electrical & Instrumentation, Comments & Recommendations).","Display the latest Monitoring submission per station, structured as:
  • General: 1749611905374, 1749611990753, 1749613710063, 1749613489958, 1749613513292, 1749613958725
  • Structural: 1749612149744, 1749612390514, 1749612437237, 1749613029710, 1749613433763, 1749612881122, 1749613073320, 1749613907567
  • Environment: 1749613625174, 1749613671183
  • Hydraulic / Valves: 1749612781881, 1749612827907
  • Electrical: 1749612965593, 1749613144170, 1749613187910, 1749613395029, 1749613872416, 1749613534231
  • Comments: 1749612019055, 1749614058464",Per DWS — show form' history in chronological order. ,,
34,All Pump Stations,All Pump Stations,,Registration + Monitoring,"1749611657406
1749611049541
1749611905374
1749613710063
1749613489958
1749613513292
1749613958725
1749612965593",,Click-through table - Station / Division / District / Pump type / Pumps online / Standby / Electrical / OHS / Last inspected / Status.,"One row per registered station (1749611657406). Columns:
  • Station — 1749611657406
  • Division — 1749611049541
  • Pumps online — 1749613489958 (or 1749627499538)
  • Standby — 1749613513292 (or 1749627528651)
  • Electrical — derived from electrical-field set
  • OHS — 1749613958725
  • Last inspected — latest of 1749611905374 / 1749627302950
  • Status — 1749613710063 (or 1749627552609).","Form does NOT capture District or Pump type. Either: (a) add District to Registration alongside Division, (b) add Pump type (submersible / centrifugal / inline / booster / lift station) to Registration. DOUBLE-CHECK with DWS.",,
