Division,Province,Tikina,Village
Central,Namosi,Veivatuloa,Namelimeli
Central,Namosi,Veivatuloa,Nakavu
Central,Namosi,Wainikoroiluva,Namuamua
Central,Namosi,Wainikoroiluva,Nukusere
Central,Namosi,Wainikoroiluva,Nakavika
Central,Namosi,Wainikoroiluva,Navunikabi
Central,Namosi,Wainikoroiluva,Saliadrau
Central,Rewa,Burebasaga,Burebasaga
Central,Rewa,Burebasaga,Waivou
Central,Rewa,Burebasaga,Naivikisara
Central,Rewa,Burebasaga,Suvalailai
Central,Rewa,Dreketi,Nakorovou
Central,Rewa,Dreketi,Nadoria
Central,Rewa,Dreketi,Vunisinu
Central,Rewa,Dreketi,Nalase
Central,Rewa,Dreketi,Nabuli
Central,Rewa,Noco,Nabudrau
Central,Rewa,Noco,Nakuriwai
Central,Rewa,Noco,Naqarani
Central,Rewa,Noco,Navaka
Central,Rewa,Noco,Taci
Central,Rewa,Noco,Narocake
Central,Rewa,Noco,Matanimoli
Central,Rewa,Noco,Naivilaca
Central,Rewa,Noco,Nacuru
Central,Rewa,Noco,Nakauwaru
Central,Rewa,Raviravi,Nawaisomo
Central,Rewa,Raviravi,Lalati
Central,Rewa,Raviravi,Raviravi
Central,Rewa,Raviravi,Naceva
Central,Rewa,Rewa,Lomanikoro
Central,Rewa,Rewa,Nasigatoka
Central,Rewa,Rewa,Nukutubu
Central,Rewa,Rewa,Nabua
Central,Rewa,Rewa,Nasilai
Central,Rewa,Rewa,Drekena
Central,Rewa,Rewa,Nadoi
Central,Rewa,Rewa,Vunuku
Central,Rewa,Rewa,Tavuya
Central,Rewa,Rewa,Nukui
Central,Rewa,Rewa,Narocivo
Central,Rewa,Rewa,Lokia
Central,Rewa,Sawau,Dakuibeqa
Central,Rewa,Sawau,Suliyaga
Central,Rewa,Sawau,Rukua
Central,Rewa,Sawau,Dakuni
Central,Rewa,Sawau,Naiseuseu
Central,Rewa,Suva,Suvavou
Central,Rewa,Suva,Lami
Central,Rewa,Suva,Waiqanake
Central,Rewa,Suva,Muaivuso
Central,Rewa,Suva,Nabaka
Central,Rewa,Suva,Kalokolevu
Central,Rewa,Suva,Togalevu
Central,Rewa,Suva,Wainawa
Central,Rewa,Toga,Navatuyaba
Central,Rewa,Toga,Vunisei
Central,Rewa,Toga,Muana
Central,Rewa,Vutia,Muanaicake
Central,Rewa,Vutia,Muanaira
Central,Rewa,Vutia,Laucala
Central,Serua,Batiwai,Nakorovou
Central,Serua,Batiwai,Galoa
Central,Serua,Batiwai,Dranikula
Central,Serua,Batiwai,Wainiyabia
Central,Serua,Batiwai,Qarasarau
Central,Serua,Deuba,Nasavu
Central,Serua,Deuba,Sadro
Central,Serua,Deuba,Saniveiuto
Central,Serua,Deuba,Vunibau
Central,Serua,Nuku,Waibogi
Central,Serua,Nuku,Wainadiro
Central,Serua,Nuku,Masi
Central,Serua,Nuku,Naimasimasi
Central,Serua,Nuku,Sabata
Central,Serua,Nuku,Nuku
Central,Serua,Serua,Serua
Central,Serua,Serua,Navutulevu
Central,Serua,Serua,Naboutini
Central,Serua,Serua,Namaqumaqua
Central,Serua,Serua,Vunaniu
Central,Serua,Serua,Korovisilou
Central,Serua,Serua,Yanuca
Central,Serua,Serua,Nabukelevu
Central,Serua,Serua,Culanuku
Central,Tailevu,Bau,Bau
Central,Tailevu,Bau,Lasakau
Central,Tailevu,Bau,Soso
Central,Tailevu,Bau,Nakoroivau
Central,Tailevu,Bau,Namuka
Central,Tailevu,Bau,Natila
Central,Tailevu,Bau,Vatoa
Central,Tailevu,Bau,Waicoka
Central,Tailevu,Bau,Ovea
Central,Tailevu,Bau,Cautata
Central,Tailevu,Bau,Vatani
Central,Tailevu,Bau,Dromuna
Central,Tailevu,Bau,Viwa
Central,Tailevu,Bau,Muanaira
Central,Tailevu,Bau,Naqeledamu
Central,Tailevu,Bau,Logani
Central,Tailevu,Bau,Kiuva
Central,Tailevu,Buretu,Buretu
Central,Tailevu,Buretu,Naivakacau
Central,Tailevu,Buretu,Daku
Central,Tailevu,Buretu,Nabouciwa
Central,Tailevu,Buretu,Matainoco
Central,Tailevu,Dawasamu,Driti
Central,Tailevu,Dawasamu,Delakado
Central,Tailevu,Dawasamu,Silana
Central,Tailevu,Dawasamu,Natalaira
Central,Tailevu,Dawasamu,Nasinu
Central,Tailevu,Dawasamu,Nataradave
Central,Tailevu,Dawasamu,Luvunavuaka
Central,Tailevu,Dawasamu,Nabualau
Central,Tailevu,Dravo,Dravo
Central,Tailevu,Dravo,Maumi
Central,Tailevu,Dravo,Naila
Central,Tailevu,Dravo,Naisogovau
Central,Tailevu,Dravo,Mokani
Central,Tailevu,Nailega,Naibita
Central,Tailevu,Nailega,Manu
Central,Tailevu,Nailega,Wailevu
Central,Tailevu,Nailega,Nailega
Central,Tailevu,Nailega,Nabulini
Central,Tailevu,Nakelo,Nauluvatu
Central,Tailevu,Nakelo,Tumavia
Central,Tailevu,Nakelo,Nakaulevu
Central,Tailevu,Nakelo,Vutuvo
Central,Tailevu,Nakelo,Naluna
Central,Tailevu,Nakelo,Waikete
Central,Tailevu,Nakelo,Namuka/ Vakali
Central,Tailevu,Nakelo,Vadrai
Central,Tailevu,Nakelo,Vaturua
Central,Tailevu,Nakelo,Nasilai
Central,Tailevu,Nakelo,Naimalavau
Central,Tailevu,Nakelo,Visama
Central,Tailevu,Naloto,Naveicovatu
Central,Tailevu,Naloto,Nasau
Central,Tailevu,Naloto,Naivicula
Central,Tailevu,Namalata,Matacaucau
Central,Tailevu,Namalata,Matacula
Central,Tailevu,Namalata,Nayawasara
Central,Tailevu,Namalata,Nailega
Central,Tailevu,Namalata,Navunisole
Central,Tailevu,Namalata,Naitutu
Central,Tailevu,Namalata,Davetalevu
Central,Tailevu,Namalata,Nakalawaca
Central,Tailevu,Namalata,Delaisui
Central,Tailevu,Namalata,Nakorovou
Central,Tailevu,Namalata,Veinuqa
Central,Tailevu,Namara,Naisausau
Central,Tailevu,Namara,Nakorolevu
Central,Tailevu,Namara,Nakalawaca
Central,Tailevu,Namara,Matamaivere
Central,Tailevu,Namara,Tubalevu
Central,Tailevu,Namara,Naikawaga
Central,Tailevu,Namata,Namata
Central,Tailevu,Namata,Raralevu
Central,Tailevu,Namena,Naburenivalu
Central,Tailevu,Namena,Nananu
Central,Tailevu,Namena,Lawaki
Central,Tailevu,Namena,Qelekuro
Central,Tailevu,Namena,Qoma
Central,Tailevu,Namena,Delaikuku
Central,Tailevu,Namena,Nadrano
Central,Tailevu,Nasautoka,Nasautoka
Central,Tailevu,Nasautoka,Nabouva
Central,Tailevu,Nausori,Nausori
Central,Tailevu,Nausori,Naduru
Central,Tailevu,Nausori,Molitava
Central,Tailevu,Nausori,Nadali
Central,Tailevu,Nausori,Vunimono
Central,Tailevu,Nausori,Verata
Central,Tailevu,Nayavu,Nayavu
Central,Tailevu,Nayavu,Naqia
Central,Tailevu,Nayavu,Nasaibitu
Central,Tailevu,Nayavu,Naveiveiwali
Central,Tailevu,Nayavu,Natuvatuvavatu
Central,Tailevu,Nayavu,Namoka
Central,Tailevu,Nuku,Natogadravu
Central,Tailevu,Nuku,Naselai
Central,Tailevu,Sawakasa,Sawakasa I
Central,Tailevu,Sawakasa,Sawakasa II
Central,Tailevu,Sawakasa,Burerua
Central,Tailevu,Sawakasa,Dakuinuku
Central,Tailevu,Sawakasa,Lodoni
Central,Tailevu,Sawakasa,Vorovoro
Central,Tailevu,Tai,Dravuni
Central,Tailevu,Tai,Naisaumua
Central,Tailevu,Tai,Naiborebore
Central,Tailevu,Taivugalei,Natuva
Central,Tailevu,Taivugalei,Vatukarasa
Central,Tailevu,Taivugalei,Nameka
Central,Tailevu,Taivugalei,Tonia
Central,Tailevu,Tokatoka,Nabitu
Central,Tailevu,Tokatoka,Lomainasau
Central,Tailevu,Tokatoka,Vanuadina
Central,Tailevu,Tokatoka,Vuci
Central,Tailevu,Tokatoka,Draubuta
Central,Tailevu,Tokatoka,Nakaile
Central,Tailevu,Tokatoka,Vanualevu
Central,Tailevu,Verata,Ucunivanua
Central,Tailevu,Verata,Naloto
Central,Tailevu,Verata,Naivuruvuru
Central,Tailevu,Verata,Kumi
Central,Tailevu,Verata,Navunimono
Central,Tailevu,Verata,Sawa
Central,Tailevu,Verata,Uluiloli
Central,Tailevu,Vugalei,Natobuniqio
Central,Tailevu,Vugalei,Nadaro
Central,Tailevu,Vugalei,Visa
Central,Tailevu,Vugalei,Savu
Central,Tailevu,Vugalei,Naimasimasi
Central,Tailevu,Vugalei,Namulomulo
Central,Tailevu,Vugalei,Sote
Central,Tailevu,Wailevu,Wailotua I
Central,Tailevu,Wailevu,Wailotua II
Central,Tailevu,Wailevu,Dakuivuna
Central,Tailevu,Wailevu,Malabe
Central,Tailevu,Wailevu,Natokalau
Eastern,Kadavu,Nabukelevu,Dagai
Eastern,Kadavu,Nabukelevu,Talaulia
Eastern,Kadavu,Nabukelevu,Lomati
Eastern,Kadavu,Nabukelevu,Nabukelevuira
Eastern,Kadavu,Nabukelevu,Qalira
Eastern,Kadavu,Nabukelevu,Daviqele
Eastern,Kadavu,Nabukelevu,Nasau
Eastern,Kadavu,Nabukelevu,Kabariki
Eastern,Kadavu,Nabukelevu,Levuka
Eastern,Kadavu,Nabukelevu,Muaninuku
Eastern,Kadavu,Nabukelevu,Tabuya
Eastern,Kadavu,Naceva,Kadavu
Eastern,Kadavu,Naceva,Nacomoto
Eastern,Kadavu,Naceva,Niudua
Eastern,Kadavu,Naceva,Vukavu
Eastern,Kadavu,Naceva,Soso
Eastern,Kadavu,Naceva,Jioma
Eastern,Kadavu,Naceva,Dravuwalu
Eastern,Kadavu,Naceva,Muanisolo
Eastern,Kadavu,Naceva,Vunisei
Eastern,Kadavu,Naceva,Daku
Eastern,Kadavu,Nakasaleka,Nakoronawa
Eastern,Kadavu,Nakasaleka,Lomanikoro
Eastern,Kadavu,Nakasaleka,Nakaunakoro
Eastern,Kadavu,Nakasaleka,Nakaugasele
Eastern,Kadavu,Nakasaleka,Kavala
Eastern,Kadavu,Nakasaleka,Lawaki
Eastern,Kadavu,Nakasaleka,Solotavui
Eastern,Kadavu,Nakasaleka,Tiliva
Eastern,Kadavu,Nakasaleka,Matasawalevu
Eastern,Kadavu,Nakasaleka,Nukuvou
Eastern,Kadavu,Nakasaleka,Namajiu
Eastern,Kadavu,Nakasaleka,Vacalea
Eastern,Kadavu,Nakasaleka,Lavidi
Eastern,Kadavu,Ono,Vabea
Eastern,Kadavu,Ono,Waisomo
Eastern,Kadavu,Ono,Narikoso
Eastern,Kadavu,Ono,Naqara
Eastern,Kadavu,Ono,Nabouwalu
Eastern,Kadavu,Ono,Buliya
Eastern,Kadavu,Ono,Dravuni
Eastern,Kadavu,Ravitaki,Wailevu
Eastern,Kadavu,Ravitaki,Mokoisa
Eastern,Kadavu,Ravitaki,Muani
Eastern,Kadavu,Ravitaki,Ravitaki
Eastern,Kadavu,Ravitaki,Solovola
Eastern,Kadavu,Ravitaki,Matanuku
Eastern,Kadavu,Ravitaki,Nasegai
Eastern,Kadavu,Sanima,Navuatu
Eastern,Kadavu,Sanima,Drue
Eastern,Kadavu,Sanima,Naikorokoro
Eastern,Kadavu,Sanima,Naivakarauniniu
Eastern,Kadavu,Sanima,Namara
Eastern,Kadavu,Sanima,Mataso
Eastern,Kadavu,Tavuki,Tavuki
Eastern,Kadavu,Tavuki,Baidamudamu
Eastern,Kadavu,Tavuki,Nukunuku
Eastern,Kadavu,Tavuki,Nagonedau
Eastern,Kadavu,Tavuki,Solodamu
Eastern,Kadavu,Tavuki,Natumua
Eastern,Kadavu,Tavuki,Waisomo
Eastern,Kadavu,Tavuki,Namuana
Eastern,Kadavu,Tavuki,Namalata
Eastern,Kadavu,Tavuki,Galoa
Eastern,Kadavu,Tavuki,Cevai
Eastern,Kadavu,Yale,Gasele
Eastern,Kadavu,Yale,Nauciwai
Eastern,Kadavu,Yale,Rakiraki
Eastern,Kadavu,Yale,Naioti
Eastern,Kadavu,Yale,Levuka
Eastern,Kadavu,Yawe,Natokalau
Eastern,Kadavu,Yawe,Korovou
Eastern,Kadavu,Yawe,Nalotu
Eastern,Kadavu,Yawe,Yakita
Eastern,Kadavu,Yawe,Naqalotu
Eastern,Kadavu,Yawe,Tawava
Eastern,Lau,Cicia,Tarukua
Eastern,Lau,Cicia,Natokalau
Eastern,Lau,Cicia,Lomaji
Eastern,Lau,Cicia,Mabula
Eastern,Lau,Cicia,Naceva
Eastern,Lau,Fulaga,Muanaira
Eastern,Lau,Fulaga,Muanaicake
Eastern,Lau,Fulaga,Naividamu
Eastern,Lau,Fulaga,Ogea
Eastern,Lau,Kabara,Naikeleyaga
Eastern,Lau,Kabara,Tokalau
Eastern,Lau,Kabara,Namuka
Eastern,Lau,Kabara,Lomaji
Eastern,Lau,Kabara,Komo
Eastern,Lau,Kabara,Udu
Eastern,Lau,Lakeba,Tubou
Eastern,Lau,Lakeba,Nasaqalau
Eastern,Lau,Lakeba,Vakano
Eastern,Lau,Lakeba,Yadrana
Eastern,Lau,Lakeba,Nukunuku
Eastern,Lau,Lakeba,Waitabu
Eastern,Lau,Lakeba,Waciwaci
Eastern,Lau,Lakeba,Levuka
Eastern,Lau,Lomaloma,Lomaloma
Eastern,Lau,Lomaloma,Sawana
Eastern,Lau,Lomaloma,Susui
Eastern,Lau,Lomaloma,Narocivo
Eastern,Lau,Lomaloma,Namalata
Eastern,Lau,Lomaloma,Uruone
Eastern,Lau,Lomaloma,Levukana
Eastern,Lau,Lomaloma,Dakuilomaloma
Eastern,Lau,Lomaloma,Tuvuca
Eastern,Lau,Matuku,Natokalau
Eastern,Lau,Matuku,Yaroi
Eastern,Lau,Matuku,Qalikarua
Eastern,Lau,Matuku,Levukaidaku
Eastern,Lau,Matuku,Makadru
Eastern,Lau,Matuku,Raviravi
Eastern,Lau,Matuku,Lomaji
Eastern,Lau,Moala,Nasoki
Eastern,Lau,Moala,Naroi
Eastern,Lau,Moala,Keteira
Eastern,Lau,Moala,Vunuku
Eastern,Lau,Moala,Cakova
Eastern,Lau,Moala,Vadra
Eastern,Lau,Moala,Maloku
Eastern,Lau,Moala,Muaikacuni
Eastern,Lau,Moce,Nasau
Eastern,Lau,Moce,Korotolu
Eastern,Lau,Mualevu,Mualevu
Eastern,Lau,Mualevu,Mavana
Eastern,Lau,Mualevu,Daliconi
Eastern,Lau,Mualevu,Malaka
Eastern,Lau,Mualevu,Muamua
Eastern,Lau,Mualevu,Boitaci
Eastern,Lau,Mualevu,Cikobia
Eastern,Lau,Mualevu,Yavea
Eastern,Lau,Nayau,Liku
Eastern,Lau,Nayau,Salia
Eastern,Lau,Nayau,Narocivo
Eastern,Lau,Oneata,Waiqori
Eastern,Lau,Oneata,Dakuiloa
Eastern,Lau,Ono,Nukuni
Eastern,Lau,Ono,Lovoni
Eastern,Lau,Ono,Matokana
Eastern,Lau,Ono,Doi
Eastern,Lau,Ono,Vatoa
Eastern,Lau,Totoya,Tovu
Eastern,Lau,Totoya,Ketei
Eastern,Lau,Totoya,Dravuwalu
Eastern,Lau,Totoya,Vanuavatu
Eastern,Lau,Totoya,Udu
Eastern,Lomaiviti,Batiki,Mua
Eastern,Lomaiviti,Batiki,Yavu
Eastern,Lomaiviti,Batiki,Manuku
Eastern,Lomaiviti,Batiki,Naigani
Eastern,Lomaiviti,Bureta,Naiviteitei
Eastern,Lomaiviti,Bureta,Nasaga
Eastern,Lomaiviti,Bureta,Navuloa
Eastern,Lomaiviti,Cawa,Nabasovi
Eastern,Lomaiviti,Cawa,Vatulele
Eastern,Lomaiviti,Cawa,Nabuna
Eastern,Lomaiviti,Cawa,Tavua
Eastern,Lomaiviti,Cawa,Navaga
Eastern,Lomaiviti,Cawa,Kade
Eastern,Lomaiviti,Levuka,Levukavakaviti
Eastern,Lomaiviti,Levuka,Vagadaci
Eastern,Lomaiviti,Levuka,Waitovu
Eastern,Lomaiviti,Levuka,Vuma
Eastern,Lomaiviti,Levuka,Toki
Eastern,Lomaiviti,Levuka,Vatukalo
Eastern,Lomaiviti,Levuka,Nauouo
Eastern,Lomaiviti,Levuka,Arovudi
Eastern,Lomaiviti,Levuka,Taviya
Eastern,Lomaiviti,Levuka,Rukuruku
Eastern,Lomaiviti,Lovoni,Nacobo
Eastern,Lomaiviti,Lovoni,Nukutocia
Eastern,Lomaiviti,Lovoni,Lovoni
Eastern,Lomaiviti,Lovoni,Visoto
Eastern,Lomaiviti,Lovoni,Vuniivisavu
Eastern,Lomaiviti,Lovoni,Nasaumatua
Eastern,Lomaiviti,Moturiki,Niubasaga
Eastern,Lomaiviti,Moturiki,Nasesara
Eastern,Lomaiviti,Moturiki,Navuti
Eastern,Lomaiviti,Moturiki,Nasauvuki
Eastern,Lomaiviti,Moturiki,Naicabecabe
Eastern,Lomaiviti,Moturiki,Yanuca
Eastern,Lomaiviti,Moturiki,Daku
Eastern,Lomaiviti,Moturiki,Uluibau
Eastern,Lomaiviti,Moturiki,Wawa
Eastern,Lomaiviti,Moturiki,Savuna
Eastern,Lomaiviti,Mudu,Tuatua
Eastern,Lomaiviti,Mudu,Naqaidamu
Eastern,Lomaiviti,Mudu,Sinuvaca
Eastern,Lomaiviti,Mudu,Nacamaki
Eastern,Lomaiviti,Mudu,Nakodu
Eastern,Lomaiviti,Mudu,Mudu
Eastern,Lomaiviti,Mudu,Namacu
Eastern,Lomaiviti,Mudu,Nasau
Eastern,Lomaiviti,Nairai,Natauloa
Eastern,Lomaiviti,Nairai,Tovulailai
Eastern,Lomaiviti,Nairai,Lawaki
Eastern,Lomaiviti,Nairai,Vutuna
Eastern,Lomaiviti,Nairai,Waitoga
Eastern,Lomaiviti,Nasinu,Naikorokoro
Eastern,Lomaiviti,Nasinu,Nasinu
Eastern,Lomaiviti,Nasinu,Tokou
Eastern,Lomaiviti,Nasinu,Natokalau
Eastern,Lomaiviti,Navukailagi,Qarani
Eastern,Lomaiviti,Navukailagi,Vione
Eastern,Lomaiviti,Navukailagi,Navukailagi
Eastern,Lomaiviti,Sawaieke,Sawaieke
Eastern,Lomaiviti,Sawaieke,Somosomo
Eastern,Lomaiviti,Sawaieke,Nawaikama
Eastern,Lomaiviti,Sawaieke,Nukuloa
Eastern,Lomaiviti,Sawaieke,Levukaigau
Eastern,Lomaiviti,Sawaieke,Lovu
Eastern,Lomaiviti,Sawaieke,Vadravadra
Eastern,Lomaiviti,Sawaieke,Yadua
Eastern,Lomaiviti,Vanuaso,Vanuaso
Eastern,Lomaiviti,Vanuaso,Lekanai
Eastern,Lomaiviti,Vanuaso,Nacavanadi
Eastern,Lomaiviti,Vanuaso,Malawai
Eastern,Lomaiviti,Vanuaso,Lamiti
Northern,Bua,Bua,Navunievu
Northern,Bua,Bua,Koroinasolo
Northern,Bua,Bua,Bua
Northern,Bua,Bua,Tiliva
Northern,Bua,Bua,Dalomo
Northern,Bua,Bua,Waitabu
Northern,Bua,Bua,Nawailevu
Northern,Bua,Dama,Dama
Northern,Bua,Dama,Nasau
Northern,Bua,Dama,Nawaca
Northern,Bua,Dama,Tavulomo
Northern,Bua,Dama,Naruwai
Northern,Bua,Dama,Nagadoa
Northern,Bua,Dama,Driti
Northern,Bua,Kubulau,Namalata
Northern,Bua,Kubulau,Navatu
Northern,Bua,Kubulau,Raviravi
Northern,Bua,Kubulau,Kiobo
Northern,Bua,Kubulau,Waisa
Northern,Bua,Kubulau,Nasasavua
Northern,Bua,Kubulau,Natokalau
Northern,Bua,Kubulau,Nakorovou
Northern,Bua,Kubulau,Nadivakarua
Northern,Bua,Kubulau,Kilaka
Northern,Bua,Lekutu,Namuavoivoi
Northern,Bua,Lekutu,Banikea
Northern,Bua,Lekutu,Kavula
Northern,Bua,Lekutu,Votua
Northern,Bua,Lekutu,Tavea
Northern,Bua,Lekutu,Galoa
Northern,Bua,Lekutu,Nasarowaqa
Northern,Bua,Lekutu,Yaqaga
Northern,Bua,Nadi,Nasolo
Northern,Bua,Nadi,Nasavu
Northern,Bua,Nadi,Nasawana
Northern,Bua,Nadi,Sawani
Northern,Bua,Navakasiga,Naiviqiri
Northern,Bua,Navakasiga,Nasau
Northern,Bua,Navakasiga,Naivaka
Northern,Bua,Solevu,Makolei
Northern,Bua,Solevu,Nawaido
Northern,Bua,Solevu,Cavaga
Northern,Bua,Vuya,Navave
Northern,Bua,Vuya,Vuya
Northern,Bua,Vuya,Nabouwalu
Northern,Bua,Vuya,Wairiki
Northern,Bua,Vuya,Yadua
Northern,Bua,Wainunu,Daria
Northern,Bua,Wainunu,Nakorotiki
Northern,Bua,Wainunu,Cogea
Northern,Bua,Wainunu,Navakasiga
Northern,Bua,Wainunu,Nadua
Northern,Bua,Wainunu,Saolo
Northern,Cakaudrove,Cakaudrove,Loa
Northern,Cakaudrove,Cakaudrove,Lovonivonu
Northern,Cakaudrove,Cakaudrove,Nakobo
Northern,Cakaudrove,Cakaudrove,Nabagasau
Northern,Cakaudrove,Cakaudrove,Nanuca
Northern,Cakaudrove,Cakaudrove,Dakuniba
Northern,Cakaudrove,Cakaudrove,Somosomo
Northern,Cakaudrove,Cakaudrove,Tavuki
Northern,Cakaudrove,Cakaudrove,Welagi
Northern,Cakaudrove,Cakaudrove,Yacata
Northern,Cakaudrove,Cakaudrove,Vunikura
Northern,Cakaudrove,Cakaudrove,Nawi
Northern,Cakaudrove,Cakaudrove,Lamini
Northern,Cakaudrove,Koroalau,Nukubolu
Northern,Cakaudrove,Koroalau,Vuninadi
Northern,Cakaudrove,Koroalau,Vunidogoloa
Northern,Cakaudrove,Koroalau,Bucalevu
Northern,Cakaudrove,Koroalau,Nakawaga
Northern,Cakaudrove,Koroalau,Nabua
Northern,Cakaudrove,Laucala,Kocoma
Northern,Cakaudrove,Laucala,Naqelelevu
Northern,Cakaudrove,Laucala,Dreketi
Northern,Cakaudrove,Laucala,Togo
Northern,Cakaudrove,Laucala,Yanuca
Northern,Cakaudrove,Natewa,Vusasivo
Northern,Cakaudrove,Natewa,Nadavaci
Northern,Cakaudrove,Natewa,Buca
Northern,Cakaudrove,Natewa,Natewa
Northern,Cakaudrove,Natewa,Dawa
Northern,Cakaudrove,Natewa,Tukavesi
Northern,Cakaudrove,Natewa,Vusaratu
Northern,Cakaudrove,Navatu,Lea
Northern,Cakaudrove,Navatu,Korolevu
Northern,Cakaudrove,Navatu,Koronatoga
Northern,Cakaudrove,Navatu,Korosi
Northern,Cakaudrove,Navatu,Nasinu
Northern,Cakaudrove,Navatu,Navakaka
Northern,Cakaudrove,Navatu,Drekeniwai
Northern,Cakaudrove,Navatu,Viani
Northern,Cakaudrove,Navatu,Tabia
Northern,Cakaudrove,Naweni,Naweni
Northern,Cakaudrove,Naweni,Dromuninuku
Northern,Cakaudrove,Naweni,Tacilevu
